observation_date,CCUSSP02RUM650N
1992-06-01,0.1000
1992-07-01,0.1610
1992-08-01,0.2050
1992-09-01,0.2540
1992-10-01,0.3980
1992-11-01,0.4470
1992-12-01,0.4150
1993-01-01,0.5720
1993-02-01,0.5930
1993-03-01,0.6840
1993-04-01,0.8230
1993-05-01,0.9910
1993-06-01,1.0600
1993-07-01,0.9900
1993-08-01,0.9850
1993-09-01,1.2010
1993-10-01,1.1860
1993-11-01,1.2140
1993-12-01,1.2470
1994-01-01,
1994-02-01,
1994-03-01,1.7530
1994-04-01,
1994-05-01,
1994-06-01,1.9850
1994-07-01,
1994-08-01,
1994-09-01,2.5960
1994-10-01,
1994-11-01,
1994-12-01,3.5500
1995-01-01,4.0040
1995-02-01,4.4070
1995-03-01,4.8970
1995-04-01,5.1000
1995-05-01,4.9950
1995-06-01,4.5380
1995-07-01,4.4150
1995-08-01,4.4350
1995-09-01,4.5080
1995-10-01,4.5040
1995-11-01,4.5780
1995-12-01,4.6400
1996-01-01,4.7320
1996-02-01,4.8150
1996-03-01,4.8540
1996-04-01,4.9320
1996-05-01,5.0140
1996-06-01,5.1080
1996-07-01,5.1910
1996-08-01,5.3450
1996-09-01,5.3960
1996-10-01,5.4550
1996-11-01,5.5110
1996-12-01,5.5600
1997-01-01,5.6290
1997-02-01,5.6760
1997-03-01,5.7260
1997-04-01,5.7620
1997-05-01,5.7730
1997-06-01,5.7820
1997-07-01,5.7980
1997-08-01,5.8300
1997-09-01,5.8600
1997-10-01,5.8870
1997-11-01,5.9190
1997-12-01,5.9600
1998-01-01,6.0260
1998-02-01,6.0720
1998-03-01,6.1060
1998-04-01,6.1330
1998-05-01,6.1640
1998-06-01,6.1980
1998-07-01,6.2380
1998-08-01,7.9050
1998-09-01,16.0645
1998-10-01,16.0100
1998-11-01,17.8800
1998-12-01,20.6500
1999-01-01,22.6000
1999-02-01,22.8600
1999-03-01,24.1800
1999-04-01,24.2300
1999-05-01,24.4400
1999-06-01,24.2200
1999-07-01,24.1900
1999-08-01,24.7500
1999-09-01,25.0800
1999-10-01,26.0500
1999-11-01,26.4200
1999-12-01,27.0000
2000-01-01,28.5500
2000-02-01,28.6600
2000-03-01,28.4600
2000-04-01,28.4000
2000-05-01,28.2500
2000-06-01,28.0700
2000-07-01,27.8000
2000-08-01,27.7500
2000-09-01,27.7500
2000-10-01,27.8300
2000-11-01,27.8500
2000-12-01,28.1600
2001-01-01,28.3700
2001-02-01,28.7200
2001-03-01,28.7400
2001-04-01,28.8300
2001-05-01,29.0900
2001-06-01,29.1100
2001-07-01,29.2700
2001-08-01,29.3700
2001-09-01,29.3900
2001-10-01,29.7000
2001-11-01,29.9000
2001-12-01,30.1400
2002-01-01,30.6850
2002-02-01,30.9274
2002-03-01,31.1192
2002-04-01,31.1963
2002-05-01,31.3071
2002-06-01,31.4471
2002-07-01,31.4401
2002-08-01,31.5673
2002-09-01,31.6358
2002-10-01,31.7408
2002-11-01,31.8424
2002-12-01,31.7844
2003-01-01,31.8222
2003-02-01,31.5762
2003-03-01,31.3805
2003-04-01,31.1000
2003-05-01,30.7090
2003-06-01,30.3483
2003-07-01,30.2596
2003-08-01,30.5036
2003-09-01,30.6119
2003-10-01,29.8584
2003-11-01,29.7387
2003-12-01,29.4545
2004-01-01,28.4937
2004-02-01,28.5156
2004-03-01,28.4853
2004-04-01,28.8834
2004-05-01,28.9850
2004-06-01,29.0274
2004-07-01,29.1019
2004-08-01,29.2447
2004-09-01,29.2171
2004-10-01,28.7655
2004-11-01,28.2367
2004-12-01,27.7487
2005-01-01,28.0845
2005-02-01,27.7738
2005-03-01,27.8256
2005-04-01,27.7726
2005-05-01,28.0919
2005-06-01,28.6721
2005-07-01,28.6341
2005-08-01,28.5450
2005-09-01,28.4989
2005-10-01,28.4244
2005-11-01,28.7312
2005-12-01,28.7825
2006-01-01,28.1207
2006-02-01,28.1223
2006-03-01,27.7626
2006-04-01,27.2739
2006-05-01,26.9840
2006-06-01,27.0789
2006-07-01,26.8718
2006-08-01,26.7379
2006-09-01,26.7799
2006-10-01,26.7477
2006-11-01,26.3147
2006-12-01,26.3311
2007-01-01,26.5331
2007-02-01,26.1599
2007-03-01,26.0113
2007-04-01,25.6851
2007-05-01,25.9031
2007-06-01,25.8162
2007-07-01,25.5999
2007-08-01,25.6494
2007-09-01,24.9493
2007-10-01,24.7238
2007-11-01,24.3506
2007-12-01,24.5462
2008-01-01,24.4764
2008-02-01,24.1159
2008-03-01,23.5156
2008-04-01,23.6471
2008-05-01,23.7384
2008-06-01,23.4573
2008-07-01,23.4456
2008-08-01,24.5769
2008-09-01,25.2464
2008-10-01,26.5430
2008-11-01,27.6060
2008-12-01,29.3804
2009-01-01,35.4146
2009-02-01,35.7205
2009-03-01,34.0134
2009-04-01,33.2491
2009-05-01,30.9843
2009-06-01,31.2904
2009-07-01,31.7555
2009-08-01,31.5687
2009-09-01,30.0922
2009-10-01,29.0488
2009-11-01,29.8179
2009-12-01,30.2442
2010-01-01,30.4312
2010-02-01,29.9484
2010-03-01,29.3638
2010-04-01,29.2886
2010-05-01,30.4956
2010-06-01,31.1954
2010-07-01,30.1869
2010-08-01,30.6640
2010-09-01,30.4030
2010-10-01,30.7821
2010-11-01,31.3061
2010-12-01,30.4769
2011-01-01,29.6684
2011-02-01,28.9405
2011-03-01,28.4290
2011-04-01,27.5022
2011-05-01,28.0685
2011-06-01,28.0758
2011-07-01,27.6796
2011-08-01,28.8569
2011-09-01,31.8751
2011-10-01,29.8977
2011-11-01,31.3216
2011-12-01,32.1961
2012-01-01,30.3647
2012-02-01,28.9503
2012-03-01,29.3282
2012-04-01,29.3627
2012-05-01,32.4509
2012-06-01,32.8169
2012-07-01,32.1900
2012-08-01,32.2934
2012-09-01,30.9169
2012-10-01,31.5252
2012-11-01,31.0565
2012-12-01,30.3727
2013-01-01,30.0277
2013-02-01,30.6202
2013-03-01,31.0834
2013-04-01,31.2559
2013-05-01,31.5893
2013-06-01,32.7090
2013-07-01,32.8901
2013-08-01,33.2474
2013-09-01,32.3451
2013-10-01,32.0613
2013-11-01,33.1916
2013-12-01,32.7292
2014-01-01,35.2448
2014-02-01,36.0501
2014-03-01,35.6871
2014-04-01,35.6983
2014-05-01,34.7352
2014-06-01,33.6306
2014-07-01,35.7271
2014-08-01,36.9316
2014-09-01,39.3866
2014-10-01,43.3943
2014-11-01,47.6629
2014-12-01,56.2584
2015-01-01,68.9291
2015-02-01,61.2718
2015-03-01,58.4643
2015-04-01,51.7029
2015-05-01,52.9716
2015-06-01,55.5240
2015-07-01,58.9906
2015-08-01,66.4779
2015-09-01,66.2367
2015-10-01,64.3742
2015-11-01,66.2393
2015-12-01,72.8827
2016-01-01,75.1723
2016-02-01,75.0903
2016-03-01,67.6076
2016-04-01,64.3334
2016-05-01,66.0825
2016-06-01,64.2575
2016-07-01,67.0512
2016-08-01,64.9072
2016-09-01,63.1581
2016-10-01,62.9037
2016-11-01,64.9449
2016-12-01,60.6569
2017-01-01,60.1618
2017-02-01,57.9371
2017-03-01,56.3779
2017-04-01,56.9838
2017-05-01,56.5168
2017-06-01,59.0855
2017-07-01,59.5436
2017-08-01,58.7306
2017-09-01,58.0169
2017-10-01,57.8716
2017-11-01,58.3311
2017-12-01,57.6002
2018-01-01,56.2914
2018-02-01,55.6717
2018-03-01,57.2649
2018-04-01,61.9997
2018-05-01,62.5937
2018-06-01,62.7565
2018-07-01,62.7805
2018-08-01,68.0821
2018-09-01,65.5906
2018-10-01,65.7742
2018-11-01,66.6342
2018-12-01,69.4706
2019-01-01,66.0987
2019-02-01,65.7570
2019-03-01,64.7347
2019-04-01,64.6917
2019-05-01,65.0583
2019-06-01,63.0756
2019-07-01,63.3791
2019-08-01,66.4897
2019-09-01,64.4156
2019-10-01,63.8734
2019-11-01,64.0817
2019-12-01,61.9057
2020-01-01,63.0359
2020-02-01,66.9909
2020-03-01,77.7325
2020-04-01,73.6894
2020-05-01,70.7520
2020-06-01,69.9513
2020-07-01,73.3633
2020-08-01,74.6382
2020-09-01,79.6845
2020-10-01,79.3323
2020-11-01,75.8599
2020-12-01,73.8757
2021-01-01,76.2527
2021-02-01,74.4373
2021-03-01,75.7023
2021-04-01,74.3823
2021-05-01,73.5870
2021-06-01,72.3723
2021-07-01,73.1388
2021-08-01,73.5744
2021-09-01,72.7608
2021-10-01,70.5200
2021-11-01,74.9818
2021-12-01,74.2926
2022-01-01,77.8174
2022-02-01,83.5485
2022-03-01,84.0851
2022-04-01,71.0237
2022-05-01,63.0975
2022-06-01,51.1580
2022-07-01,61.3101
2022-08-01,60.3677
2022-09-01,57.4130
2022-10-01,61.5343
2022-11-01,61.0742
2022-12-01,70.3375
2023-01-01,69.5927
2023-02-01,75.4323
2023-03-01,77.0863
2023-04-01,80.5093
2023-05-01,80.6872
2023-06-01,87.0341
2023-07-01,90.9783
2023-08-01,95.9283
2023-09-01,97.4147
2023-10-01,93.2435
2023-11-01,88.8841
